"source","target","dst_port","weight","type","time","diff"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","390","graph_edge","1771677202042","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","390","graph_edge","1771677202042","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","390","graph_edge","1771677202042","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","390","graph_edge","1771677202332","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","390","graph_edge","1771677202332","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","390","graph_edge","1771677202332","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","390","graph_edge","1771677202332","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","390","graph_edge","1771677202332","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1072","graph_edge","1771677202332","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1072","graph_edge","1771677202332","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1072","graph_edge","1771677202332","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1072","graph_edge","1771677202332","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1072","graph_edge","1771677202332","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1072","graph_edge","1771677202802","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1072","graph_edge","1771677202802","-1"
