2026-02-21 12:24:22,227 INFO     Starting server at tcp:port=8000:interface=0.0.0.0
2026-02-21 12:24:22,228 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2026-02-21 12:24:22,228 INFO     Configuring endpoint tcp:port=8000:interface=0.0.0.0
2026-02-21 12:24:22,228 INFO     Listening on TCP address 0.0.0.0:8000
127.0.0.1:40560 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40568 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40584 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40586 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40598 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40620 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40604 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40632 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40638 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40654 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40656 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40658 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40664 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40680 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40696 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40702 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40706 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40718 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40732 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40740 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40742 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40758 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40774 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40790 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40804 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
